TOTAL_SLAB_WGT,SCRAP_16010101,-0.195436595
TOTAL_SLAB_WGT,SUM_BO_CSM,-0.257261782
TOTAL_SLAB_WGT,SCRAP_16020101,0.545432911
TOTAL_SLAB_WGT,PERIOD,0.034718461
TOTAL_SLAB_WGT,MIRON_SI,-4703.096848
TOTAL_SLAB_WGT,MIRON_S,-26000.46047
TOTAL_SLAB_WGT,FIRSTCATCHCARBONC,-2429.948983
TOTAL_SLAB_WGT,L12010601,-1.347983352
TOTAL_SLAB_WGT,SPRAYGUNSEQ,-4.24684533
TOTAL_SLAB_WGT,TOTALTIMEOFOXYGEN,-1.494226502
TOTAL_SLAB_WGT,SUBLANCE_AGE,4.366598099
TOTAL_SLAB_WGT,N2CONSUME,-0.153888917
TOTAL_SLAB_WGT,SCRAPWGT_COUNT,-0.363648056
TOTAL_SLAB_WGT,FURNACESEQ,0.204732225
TOTAL_SLAB_WGT,SCRAP_96052200,0.654549078
TOTAL_SLAB_WGT,TOTALOXYGENCONSUME,5.492654574
TOTAL_SLAB_WGT,MIRON_TEMP,-1.316362515
TOTAL_SLAB_WGT,SCRAP_96053101,0.101308544
TOTAL_SLAB_WGT,CARBONTEMPERATURE,-0.347970255
TOTAL_SLAB_WGT,MIRON_C,1048.659474
TOTAL_SLAB_WGT,L96020400,0.148201579
TOTAL_SLAB_WGT,MIRON_MN,15933.52591
TOTAL_SLAB_WGT,L96053601,-1.79381104
TOTAL_SLAB_WGT,MIRON_P,-4784.58659
TI,MIRON_P,-0.00393633
TI,SCRAPWGT,1.26E-08
TI,SCRAPWGT_COUNT,-4.73E-08
TI,MIRON_C,0.000136554
TI,FURNACESEQ,3.53E-08
TI,L1602010074,-7.24E-08
TI,LADLESTATUS,-4.41E-05
TI,SCRAP_16020101,1.09E-07
TI,MIRON_S,0.003830094
TI,MIRON_MN,-0.001064585
TI,L12020301,-6.15E-08
TI,SUBLANCE_AGE,6.42E-08
TI,SCRAP_16010101,4.78E-08
TI,SCRAP_16030101,-3.20E-08
TI,MIRON_TEMP,6.51E-08
TI,O_CONT,4.87E-08
TI,SCRAP_96053101,4.26E-08
TI,L12010601,6.02E-09
TI,L96040200,-4.20E-09
TI,SCRAP_96052200,5.63E-08
TI,FIRSTCATCHOXYGENCONSUME,5.28E-09
TI,N2CONSUME,-2.37E-08
TI,CARBONTEMPERATURE,-1.42E-08
TI,HEAT_WGT,1.07E-07
TI,BEFARTEMP,-1.17E-08
TI,SUBLANCE_INDEPTH,-1.14E-07
TI,SCRAP_NUM,7.10E-06
TI,FIRSTCATCHCARBONC,2.47E-05
TI,TOTALTIMEOFOXYGEN,6.53E-09
TI,L96053601,-7.25E-08
STEEL_SLAG,L12020301,2.104856349
STEEL_SLAG,L12020201,3.964244521
STEEL_SLAG,FURNACESEQ,1.108940936
STEEL_SLAG,SCRAP_96053101,-1.198341114
STEEL_SLAG,SCRAP_NUM,1980.077487
STEEL_SLAG,HEAT_WGT,1.676911107
STEEL_SLAG,SCRAP_96052200,1.132171591
STEEL_SLAG,SCRAP_16010101,0.864112031
STEEL_SLAG,L96040200,0.362027473
STEEL_SLAG,SCRAPWGT,0.533125314
STEEL_SLAG,MIRON_SI,-2146.065207
STEEL_SLAG,LEQHEIGH,-6.080205374
STEEL_SLAG,L96020400,0.080304095
STEEL_SLAG,L96040100,0.053018881
STEEL_SLAG,MIRON_S,-16494.47718
STEEL_SLAG,N2CONSUME,1.825743774
STEEL_SLAG,SCRAPWGT_COUNT,-0.633246097
STEEL_SLAG,L1602010074,-3.411646868
STEEL_SLAG,FIRSTCATCHOXYGENCONSUME,-0.818011973
STEEL_SLAG,COLDPIGWGT,0.583500556
STEEL_SLAG,FIRSTCATCHCARBONC,1787.370042
STEEL_SLAG,SCRAP_16030101,0.271994913
STEEL_SLAG,MIRON_C,-1006.378559
STEEL_SLAG,MIRON_P,18396.08518
STEEL_SLAG,L12010302,0.006286269
STEEL_SLAG,FIRSTCATCHCARBONP,-1974.204065
STEEL_SLAG,MIRON_TEMP,2.264238985
STEEL_SLAG,L96053601,-0.097290223
STEEL_SLAG,O_CONT,-0.736837313
STEELWGT_COUNT,FURNACESEQ,-2.016735049
STEELWGT_COUNT,SCRAP_96053101,-1.797351731
STEELWGT_COUNT,L96040200,-0.328388165
STEELWGT_COUNT,SCRAP_NUM,2893.869512
STEELWGT_COUNT,SCRAP_96052200,1.396237289
STEELWGT_COUNT,SCRAPWGT,0.268030805
STEELWGT_COUNT,MIRON_SI,-9799.283619
STEELWGT_COUNT,SCRAP_16010101,1.086089603
STEELWGT_COUNT,L96040100,0.082092179
STEELWGT_COUNT,L96020400,0.000509714
STEELWGT_COUNT,SCRAPWGT_COUNT,7.19621838
STEELWGT_COUNT,LEQHEIGH,0.752549987
STEELWGT_COUNT,MIRON_S,-66136.69897
STEELWGT_COUNT,N2CONSUME,3.164268708
STEELWGT_COUNT,L12010302,0.150225993
STEELWGT_COUNT,FIRSTCATCHOXYGENCONSUME,1.76057128
STEELWGT_COUNT,MIRON_P,48365.63801
STEELWGT_COUNT,FIRSTCATCHCARBONP,-746.825764
STEELWGT_COUNT,COLDPIGWGT,8.130618866
STEELWGT_COUNT,L12010601,-1.378023028
STEELWGT_COUNT,MIRON_MN,45900.60887
STEELWGT_COUNT,SCRAP_16030101,0.247906744
STEELWGT_COUNT,SCRAP_96052501,-341.3430825
STEELWGT_COUNT,SUM_BO_CSM,-0.054883922
STEELWGT_COUNT,DOWNFURNACETIMES,259.9921776
STEELWGT_COUNT,L12020301,1.15731134
STEELWGT_COUNT,FIRSTCATCHCARBONC,1836.146708
STEELWGT_COUNT,CARBONTEMPERATURE,-0.320203624
STEELWGT_COUNT,C_CONT,-2027.421727
STEELWGT_COUNT,TIMEOFOXYGEN,-11.723328
STEELWGT,SPRAYGUNSEQ,10.19750438
STEELWGT,SUBLANCE_AGE,-8.281204689
STEELWGT,COLDPIGWGT,0.780547499
STEELWGT,SCRAP_NUM,1651.032434
STEELWGT,N2CONSUME,-4.952259576
STEELWGT,MIRON_MN,16139.52417
STEELWGT,FURNACESEQ,-0.328464007
